Координаты,Высота
"[55.55006800000052, 37.71989199999948]",?
"[55.549957000000525, 37.72000299999948]",?
"[55.54984600000053, 37.72011399999948]",?
"[55.54973500000053, 37.72022499999947]",171 м
"[55.549624000000534, 37.72033599999947]",?
"[55.54951300000054, 37.72044699999947]",?
"[55.54940200000054, 37.720557999999464]",?
"[55.549291000000544, 37.72066899999946]",?
"[55.54918000000055, 37.72077999999946]",?
"[55.54906900000055, 37.720890999999455]",171 м
"[55.54895800000055, 37.72100199999945]",?
"[55.548847000000556, 37.72111299999945]",?
"[55.54873600000056, 37.721223999999445]",?
